rank,timestamp,edf_peak_ppb,pinn_peak_ppb,error_ppb,pct_error,peak_sensor_id
1,2019-03-30 09:00:00,196.935683,0.45569128647150825,-196.4799917135285,-99.76860908113258,482011015
2,2019-03-21 04:00:00,190.682717,0.590064433466248,-190.09265256653376,-99.6905516961633,482011039
3,2019-03-20 21:00:00,165.166933,0.3706251551389995,-164.796307844861,-99.77560571695122,482011015
4,2019-03-29 22:00:00,129.832233,0.5489411529241357,-129.28329184707587,-99.5771919343603,482010026
5,2019-04-14 23:00:00,98.166567,0.14981748550119536,-98.0167495144988,-99.84738440990688,482011015
6,2019-03-20 19:00:00,84.8047,0.41242912036278007,-84.39227087963722,-99.51367185974036,482011015
7,2019-03-23 05:00:00,70.0527,0.587274568118141,-69.46542543188185,-99.16166747588866,482010026
8,2019-03-29 21:00:00,53.73045,0.4718692516646033,-53.2585807483354,-99.12178429239918,482010026
9,2019-04-04 10:00:00,48.75825,0.3065436799580186,-48.45170632004198,-99.37129884694792,482011015
10,2019-03-21 05:00:00,48.03445,0.5543087208781108,-47.48014127912189,-98.84601838705738,482011039
