process_noise,measurement_noise,decay_rate,pinn_weight,mae,rmse,detection_rate
0.1,0.001,0.5,0.1,0.36243839598576105,1.380164106051236,0.0
0.1,0.001,0.5,0.3,0.36138834647190377,1.3797280245681705,0.0
0.1,0.001,0.5,0.5,0.36098794194373074,1.3793697037984234,0.0
0.1,0.001,0.5,0.7,0.3610833448445416,1.3790892043543448,0.0
0.1,0.001,0.5,0.9,0.36148915118018554,1.3788865737282505,0.0
0.1,0.001,0.6,0.1,0.3623993872326686,1.3799288321308862,0.0
0.1,0.001,0.6,0.3,0.36159247123571203,1.3796071109767511,0.0
0.1,0.001,0.6,0.5,0.36125189038557287,1.3793371749617913,0.0
0.1,0.001,0.6,0.7,0.36123456468279797,1.3791190544938408,0.0
0.1,0.001,0.6,0.9,0.3615414443200273,1.3789527741611918,0.0
0.1,0.001,0.7,0.1,0.36257448845482587,1.379867721153725,0.0
0.1,0.001,0.7,0.3,0.3620403181695669,1.3796477716118007,0.0
0.1,0.001,0.7,0.5,0.36178905207650064,1.37945833775612,0.0
0.1,0.001,0.7,0.7,0.3617299591535392,1.3792994321598135,0.0
0.1,0.001,0.7,0.9,0.36185249137511744,1.3791710653751137,0.0
0.1,0.001,0.8,0.1,0.3630115239642942,1.3799827868323227,0.0
0.1,0.001,0.8,0.3,0.36270673633168476,1.379851198939671,0.0
0.1,0.001,0.8,0.5,0.362503931948633,1.3797339201054946,0.0
0.1,0.001,0.8,0.7,0.36238344619600316,1.3796309539789213,0.0
0.1,0.001,0.8,0.9,0.36235829044133194,1.3795423037647618,0.0
0.1,0.001,0.9,0.1,0.363483730059011,1.3802764063761535,0.0
0.1,0.001,0.9,0.3,0.3633856976370663,1.3802186385195905,0.0
0.1,0.001,0.9,0.5,0.3632879377080107,1.3801646721910439,0.0
0.1,0.001,0.9,0.7,0.36319040286071197,1.3801145078364654,0.0
0.1,0.001,0.9,0.9,0.3630928680134133,1.38006814587045,0.0
0.1,0.01,0.5,0.1,0.35479410858590155,1.367774109833697,0.0
0.1,0.01,0.5,0.3,0.35398209954864013,1.3672307522074196,0.0
0.1,0.01,0.5,0.5,0.3540287014647416,1.366782513008441,0.0
0.1,0.01,0.5,0.7,0.3547423704925688,1.3664294858438069,0.0
0.1,0.01,0.5,0.9,0.35586096545290236,1.3661717445236419,0.0
0.1,0.01,0.6,0.1,0.355101795427214,1.3676270204702716,0.0
0.1,0.01,0.6,0.3,0.3544903550139209,1.3672214341060698,0.0
0.1,0.01,0.6,0.5,0.35443892064672794,1.3668796190032793,0.0
0.1,0.01,0.6,0.7,0.3549796625468668,1.3666016230134033,0.0
0.1,0.01,0.6,0.9,0.35585862836163956,1.366387485089062,0.0
0.1,0.01,0.7,0.1,0.3557723671308355,1.3676991758253274,0.0
0.1,0.01,0.7,0.3,0.35537029618132654,1.3674190751070803,0.0
0.1,0.01,0.7,0.5,0.35534915666563904,1.3671767306427802,0.0
0.1,0.01,0.7,0.7,0.3556401593326101,1.3669721625133462,0.0
0.1,0.01,0.7,0.9,0.3562297858634133,1.366805387680595,0.0
0.1,0.01,0.8,0.1,0.3567352758573979,1.3679982801373736,0.0
0.1,0.01,0.8,0.3,0.35652122843444417,1.3678293109992914,0.0
0.1,0.01,0.8,0.5,0.35649106628444055,1.3676780945733977,0.0
0.1,0.01,0.8,0.7,0.35654688364593234,1.3675446367487178,0.0
0.1,0.01,0.8,0.9,0.3567585523199118,1.367428942724844,0.0
0.1,0.01,0.9,0.1,0.3578649026979307,1.3685311446804895,0.0
0.1,0.01,0.9,0.3,0.35780695432799964,1.368456484424811,0.0
0.1,0.01,0.9,0.5,0.35777852404196825,1.368386544839502,0.0
0.1,0.01,0.9,0.7,0.3577663161605834,1.3683213266484318,0.0
0.1,0.01,0.9,0.9,0.3577743109965955,1.3682608305267363,0.0
0.1,0.05,0.5,0.1,0.3366495783317051,1.3453499428909867,0.0
0.1,0.05,0.5,0.3,0.3372751601834082,1.3441773151403895,0.0
0.1,0.05,0.5,0.5,0.3404439297044768,1.3432839212089203,0.0
0.1,0.05,0.5,0.7,0.3451974199740358,1.3426703184914535,0.0
0.1,0.05,0.5,0.9,0.35136231423188585,1.34233689067857,0.0
0.1,0.05,0.6,0.1,0.3391231363185165,1.345581731867563,0.0
0.1,0.05,0.6,0.3,0.3399678972826388,1.344711031397344,0.0
0.1,0.05,0.6,0.5,0.34259740388155685,1.3440272280537706,0.0
0.1,0.05,0.6,0.7,0.34632969865110264,1.3435306072063602,0.0
0.1,0.05,0.6,0.9,0.351084796599173,1.3432213764725727,0.0
