t,x,y,source_x,source_y,source_x_cartesian,source_y_cartesian,source_diameter,Q_total,wind_u,wind_v,D,phi,wind_quality
2019-01-01 13:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.1089609405084621,-0.887415646618847,50.292494154581455,,1.0
2019-01-01 15:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-0.5380707658099968,-0.7140440234334845,27.519665696868053,,1.0
2019-01-01 16:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-1.460852610348131,-2.2495157519721634,60.35937524525208,,1.0
2019-01-01 17:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-2.4659063622290556,-1.9265771971210268,52.093424140144315,,1.0
2019-01-01 18:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-2.3682773596882822,-1.2592354089366038,44.65150527184461,,1.0
2019-01-01 19:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.3378531037270494,-0.0935518023923634,1.0,,1.0
2019-01-01 20:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.282519438767722,-0.3921055419984348,1.0,,1.0
2019-01-01 21:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.5028105805367478,-2.1779118989297337,2.5241092453722462,,1.0
2019-01-01 22:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.3057933640104428,-0.8401603626377596,1.0,,1.0
2019-01-01 23:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.3921055419984344,-1.282519438767722,1.0,,1.0
2019-01-02 00:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.2797298477609053,-1.7661447500002372,1.0096437116106594,,1.0
2019-01-02 01:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.700641188288286,-0.552571818299799,1.0096437116106594,,1.0
2019-01-02 02:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-2.142132117902839,-1.6142123333009608,3.0289312021407833,,1.0
2019-01-02 03:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.4996771346556683,-0.9739017185900762,1.0096437116106596,,1.0
2019-01-02 04:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.078007352526567,-2.2338383048804618,2.5241092453722462,,1.0
2019-01-02 05:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.6610772606114683,-1.4956406833457427,2.5241092453722462,,1.0
2019-01-02 06:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-0.2724023476391658,-2.218539086966937,37.2095864035449,,1.0
2019-01-02 07:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-1.1335636103050457,-2.4309350071369713,44.65150527184461,,1.0
2019-01-02 08:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-0.4928836849352767,-1.718889681976817,55.039331393736106,,1.0
2019-01-02 09:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.0468044131800779,-1.3403030305829453,41.27949946261368,,1.0
2019-01-02 10:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-0.7273101820440596,-1.6335654149059278,100.58498830916288,,1.0
2019-01-02 11:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-0.8256759206539925,-1.0568169855443943,75.43874290826929,,1.0
2019-01-02 12:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-0.783877735143251,-1.6071875316926854,100.58498830916288,,1.0
2019-01-02 13:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-0.9483150496757284,-0.9483150496757288,75.43874290826929,,1.0
2019-01-02 14:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-1.2644200381364057,-1.264420038136406,100.58498830916292,,1.0
2019-01-02 15:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-1.4066568929420618,-1.7370765973145814,50.29947758263814,,1.0
2019-01-02 16:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-1.460852610348131,-2.2495157519721634,60.35937524525208,,1.0
2019-01-02 17:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-0.7894257690201681,-0.4197451269846393,14.8838347598668,,1.0
2019-01-02 18:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.7966310982080818,-0.4059038183957135,14.8838347598668,,1.0
2019-01-02 19:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.5454826486547413,-1.225174088405222,1.0,,1.0
2019-01-02 20:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.0510540570301703,-1.4466518015342045,1.0096437116106596,,1.0
2019-01-02 21:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.1253255293578166,-1.3896612963802688,1.0096437116106594,,1.0
2019-01-02 22:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.1168863101193564,-1.3360166381410228,1.0,,1.0
2019-01-02 23:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.7045446413732294,-0.5504506015372337,1.0,,1.0
2019-01-03 00:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.2195221646611412,-1.3077774105641768,1.0096437116106594,,1.0
2019-01-03 01:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,0.3105107195542685,-1.760993798604535,1.0096437116106594,,1.0
2019-01-03 02:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-0.4647241964051971,-2.186355447011067,2.5241092453722462,,1.0
2019-01-03 03:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-2.958792453662044,-1.0187939437889235,7.067506317818638,,1.0
2019-01-03 04:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-1.428088046866969,-1.0761415316199934,1.0096437116106594,,1.0
2019-01-03 05:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,-2.6806060611658906,0.0936088263601567,3.0289312021407833,,1.0
2019-01-03 06:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-3.008057086698584,0.8625464897099021,52.093424140144315,,1.0
2019-01-03 07:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-2.6822400093078613,-4.92719496291576e-16,44.65150527184461,,1.0
2019-01-03 08:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-2.2338383048804618,-0.0780073525265666,50.29947758263814,,1.0
2019-01-03 09:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-3.060897812382343,-0.6506139146232847,52.093424140144315,,1.0
2019-01-03 10:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-1.5788515380403365,0.8394902539692781,100.58498830916288,,1.0
2019-01-03 11:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,-2.0867389023536034,0.801024015122829,90.6610003387276,,1.0
2019-01-03 12:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.5982562813149561,-0.6644309131035633,50.29249415458143,,1.0
2019-01-03 13:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.0311839334378192,-0.4459510246657747,25.146247077290717,,1.0
2019-01-03 14:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,0.0078019236274229,-0.4469719052611926,25.146247077290717,,1.0
2019-01-03 15:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,1.2680538765081335,-0.436625964820754,41.27949946261368,,1.0
2019-01-03 16:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,1.737076597314582,-1.406656892942061,50.29947758263814,,1.0
2019-01-03 17:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.001,2.274668533328126,-1.4213706522292875,44.65150527184461,,1.0
2019-01-03 18:00:00,29.6278,-95.0508,29.6278,-95.0508,9590,-13512,2130,0.00064,1.6693911441411746,-0.6408192206424207,29.7676695197336,,1.0
