facility_name,facility_lat,facility_lon,wind_station_id,wind_station_name,wind_station_lat,wind_station_lon,wind_distance_km,ref_temp_pct,ref_wind_pct,cloud_station_id,cloud_station_name,cloud_station_lat,cloud_station_lon,cloud_distance_km,ref_cloud_pct,wind_hours_present,temp_pct,wind_pair_pct,cloud_hours_present,cloud_pct
ExxonMobil Baytown Refinery,29.7436,-95.0128,MGPT2,"Morgans Point, TX",29.681699752807617,-94.98500061035156,7.388057181972265,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,64.21548611052884,99.00662251655629,734,100.0,100.0,503,98.40954274353876
Shell Deer Park Refinery,29.7208,-95.1269,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,3.428226720915308,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,53.773616267847366,99.00662251655629,720,100.0,100.0,503,98.40954274353876
Valero Houston Refinery,29.7222,-95.2539,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,11.903533027075248,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,41.79927685750023,99.00662251655629,720,100.0,100.0,503,98.40954274353876
LyondellBasell Pasadena Complex,29.7131,-95.2356,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,9.928674736492273,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,43.77043549726104,99.00662251655629,720,100.0,100.0,503,98.40954274353876
LyondellBasell Channelview Complex,29.8314,-95.115,D2150,DW2150 League City                TX US,29.886329650878906,-95.12750244140625,6.22575695897957,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,53.810822954974824,99.00662251655629,709,100.0,100.0,503,98.40954274353876
ExxonMobil Baytown Olefins Plant,29.7564,-95.0114,MGPT2,"Morgans Point, TX",29.681699752807617,-94.98500061035156,8.688710470929252,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,64.17748938515008,99.00662251655629,734,100.0,100.0,503,98.40954274353876
Chevron Phillips Chemical Co,29.7292,-95.1789,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,5.9335664580880785,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,48.6674312020784,99.00662251655629,720,100.0,100.0,503,98.40954274353876
TPC Group,29.7006,-95.2542,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,11.466751456823735,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,42.45269918360903,99.00662251655629,720,100.0,100.0,503,98.40954274353876
INEOS Phenol,29.7322,-95.1614,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,5.196569171507611,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,50.25710069992467,99.00662251655629,720,100.0,100.0,503,98.40954274353876
Total Energies Petrochemicals,29.7278,-95.0861,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,6.322263180526179,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,57.493306380238785,99.00662251655629,720,100.0,100.0,503,98.40954274353876
BASF Pasadena,29.7278,-95.1511,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,4.344024499014957,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,51.32803800567813,99.00662251655629,720,100.0,100.0,503,98.40954274353876
Huntsman International,29.7236,-95.2644,C6132,CW6132 Houston                    TX US,29.736000061035156,-95.38716888427734,11.934327742223006,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,40.779544914118624,99.00662251655629,674,100.0,100.0,503,98.40954274353876
Invista,29.7042,-95.25,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,11.108471226614956,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,42.717418568357594,99.00662251655629,720,100.0,100.0,503,98.40954274353876
Goodyear Baytown,29.6469,-95.0475,KT41,La Porte Municipal Airport       TX US NWS/FAA,29.669300079345703,-95.06420135498047,2.9678871175847075,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,63.29168386022286,99.00662251655629,732,100.0,100.0,503,98.40954274353876
LyondellBasell Bayport Polymers,29.6278,-95.0508,KT41,La Porte Municipal Airport       TX US NWS/FAA,29.669300079345703,-95.06420135498047,4.7928811570545236,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,63.66767841313046,99.00662251655629,732,100.0,100.0,503,98.40954274353876
INEOS PP & Gemini,29.7231,-95.0858,KT41,La Porte Municipal Airport       TX US NWS/FAA,29.669300079345703,-95.06420135498047,6.335616300553545,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,57.61673625815346,99.00662251655629,732,100.0,100.0,503,98.40954274353876
K-Solv Channelview,29.7675,-95.1031,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,9.080314025877529,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,55.24456276836548,99.00662251655629,720,100.0,100.0,503,98.40954274353876
Oxy Vinyls Deer Park,29.7306,-95.1042,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,5.368624999633841,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,55.718070282432166,99.00662251655629,720,100.0,100.0,503,98.40954274353876
ITC Deer Park,29.7389,-95.0939,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,6.700759805280778,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,56.54362596134863,99.00662251655629,720,100.0,100.0,503,98.40954274353876
Enterprise Houston Terminal,29.745,-95.1281,F2972,FW2972 Deer Park                  TX US,29.69099998474121,-95.13600158691406,6.052818297675122,100.0,100.0,KIWS,HOUSTON                          TX US DIGIWX,29.81818962097168,-95.672607421875,53.17618753975502,99.00662251655629,720,100.0,100.0,503,98.40954274353876
