t,x,y,source_x,source_y,source_x_cartesian,source_y_cartesian,source_diameter,Q_total,wind_u,wind_v,D,phi
2021-01-01 00:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,1.243464815351659,0.5023923963053416,1.0,
2021-01-01 01:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,1.788159966468811,5.47466094824867e-16,1.0096437116106594,
2021-01-01 02:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,2.4690149466922056,-1.0480346657159398,3.0289312021407833,
2021-01-01 03:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,-6.569593283887678e-16,2.6822400093078613,3.0289312021407833,
2021-01-01 04:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,-5.474660875254032e-16,2.2351999282836914,2.5241092453722462,
2021-01-01 05:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,0.6986897616176999,1.6460099278838938,1.0096437116106594,
2021-01-01 06:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,2.901417976173157,1.1722489544835208,52.093424140144315,
2021-01-01 07:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,1.7467243807548596,4.11502476484337,74.4191728070898,
2021-01-01 08:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,1.2345074733461028,-0.5240173328579699,41.27949946261368,
2021-01-01 09:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,1.243464815351659,0.5023923963053416,41.27949946261368,
2021-01-01 10:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,0.8289765251462846,0.33492825676079674,50.29249415458143,
2021-01-01 11:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,2.2351999282836914,6.843326094067541e-16,90.6610003387276,
2021-01-01 12:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,2.6822400093078613,8.211991604859599e-16,108.79320427463125,
2021-01-01 13:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,1.3411200046539307,4.1059958024297994e-16,75.43874290826929,
2021-01-01 14:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,2.0724412852334795,0.8373206307378454,90.6610003387276,
2021-01-01 15:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,0.8289765251462846,0.33492825676079674,27.519665696868042,
2021-01-01 16:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,1.243464815351659,0.5023923963053416,41.27949946261368,
2021-01-01 17:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,2.880517510962726,-1.2227071410544499,52.093424140144315,
2021-01-01 18:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,0.5023923963053405,-1.2434648153516594,22.325752635922306,
2021-01-01 19:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,0.5023923963053405,-1.2434648153516594,1.0,
2021-01-01 20:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,0.948315049675728,-0.9483150496757291,1.0,
2021-01-01 21:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,-0.5240173328579701,-1.2345074733461026,1.0,
2021-01-01 22:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,1.0949321896497339e-16,-0.8940799832344055,1.0,
