t,x,y,source_x,source_y,source_x_cartesian,source_y_cartesian,source_diameter,Q_total,wind_u,wind_v,D,phi
2021-03-01 00:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,-0.8230049639419469,0.34934488080885,1.0,
2021-03-01 01:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,-8.759457517197871e-16,3.576319932937622,8.077149692885275,
2021-03-01 02:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,-1.1722489544835206,2.9014179761731573,7.067506317818638,
2021-03-01 03:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,-0.5023923963053415,1.2434648153516592,1.0,
2021-03-01 04:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,1.22270714105445,2.880517510962726,7.067506317818638,
2021-03-01 05:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,0.5240173328579699,1.2345074733461028,1.0,
2021-03-01 06:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,0.8733621903774298,2.057512382421685,37.2095864035449,
2021-03-01 07:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,0.5240173328579699,1.2345074733461028,22.325752635922306,
2021-03-01 08:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,-0.5023923963053415,1.2434648153516592,41.27949946261368,
2021-03-01 09:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,-0.16746412838039834,0.41448826257314236,13.759832848434021,
2021-03-01 10:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-01 11:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-01 12:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-01 13:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-01 14:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-01 15:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-01 16:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-01 17:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-01 18:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-01 19:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-01 20:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-01 21:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-01 22:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-01 23:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 00:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 01:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 02:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 03:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 04:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 05:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 06:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 07:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 08:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 09:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 10:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 11:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 12:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 13:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 14:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 15:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 16:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 17:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-02 18:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 19:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 20:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 21:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 22:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-02 23:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-03 00:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-03 01:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-03 02:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-03 03:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-03 04:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-03 05:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0006,,,,
2021-03-03 06:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-03 07:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
2021-03-03 08:00:00,29.7236,-95.2644,29.7236,-95.2644,-11064,-2920,193,0.0009,,,,
