t,sensor_482010026,sensor_482010057,sensor_482010069,sensor_482010617,sensor_482010803,sensor_482011015,sensor_482011035,sensor_482011039,sensor_482016000
2021-02-01 03:00:00,,,,,,,,,
2021-02-01 04:00:00,,,,,,,,,
2021-02-01 05:00:00,,,,,,,,,
2021-02-01 06:00:00,,,,,,,,,
2021-02-01 07:00:00,,,,,,,,,
2021-02-01 08:00:00,,,,,,,,,
2021-02-01 09:00:00,,,,,,,,,
2021-02-01 10:00:00,,,,,,,,,
2021-02-01 11:00:00,,,,,,,,,
2021-02-01 12:00:00,,,,,,,,,
2021-02-01 13:00:00,,,,,,,,,
2021-02-01 14:00:00,,,,,,,,,
2021-02-01 15:00:00,,,,,,,,,
2021-02-01 16:00:00,,,,,,,,,
2021-02-01 17:00:00,,,,,,,,,
2021-02-01 18:00:00,,,,,,,,,
2021-02-01 19:00:00,,,,,,,,,
2021-02-01 20:00:00,,,,,,,,,
2021-02-01 21:00:00,,,,,,,,,
2021-02-01 22:00:00,,,,,,,,,
2021-02-01 23:00:00,,,,,,,,,
2021-02-02 00:00:00,,,,,,,,,
2021-02-02 01:00:00,,,,,,,,,
2021-02-02 02:00:00,,,,,,,,,
2021-02-02 03:00:00,,,,,,,,,
2021-02-02 04:00:00,,,,,,,,,
2021-02-02 05:00:00,,,,,,,,,
2021-02-02 06:00:00,,,,,,,,,
2021-02-02 07:00:00,,,,,,,,,
2021-02-02 08:00:00,,,,,,,,,
2021-02-02 09:00:00,,,,,,,,,
2021-02-02 10:00:00,,,,,,,,,
2021-02-02 11:00:00,,,,,,,,,
2021-02-02 12:00:00,,,,,,,,,
2021-02-02 13:00:00,,,,,,,,,
2021-02-02 14:00:00,,,,,,,,,
2021-02-02 15:00:00,,,,,,,,,
2021-02-02 16:00:00,,,,,,,,,
2021-02-02 17:00:00,,,,,,,,,
2021-02-02 18:00:00,,,,,,,,,
2021-02-02 19:00:00,,,,,,,,,
2021-02-02 20:00:00,,,,,,,,,
2021-02-02 21:00:00,,,,,,,,,
2021-02-02 22:00:00,,,,,,,,,
2021-02-02 23:00:00,,,,,,,,,
2021-02-03 00:00:00,,,,,,,,,
2021-02-03 01:00:00,,,,,,,,,
2021-02-03 02:00:00,,,,,,,,,
2021-02-03 03:00:00,,,,,,,,,
2021-02-03 04:00:00,,,,,,,,,
2021-02-03 05:00:00,,,,,,,,,
2021-02-03 06:00:00,,,,,,,,,
2021-02-03 07:00:00,,,,,,,,,
2021-02-03 08:00:00,,,,,,,,,
2021-02-03 09:00:00,,,,,,,,,
2021-02-03 10:00:00,,,,,,,,,
2021-02-03 11:00:00,,,,,,,,,
2021-02-03 12:00:00,,,,,,,,,
2021-02-03 13:00:00,,,,,,,,,
2021-02-03 14:00:00,,,,,,,,,
2021-02-03 15:00:00,,,,,,,,,
2021-02-03 16:00:00,,,,,,,,,
2021-02-03 17:00:00,13.467234631636659,4.850860106555581,15.72209536400415,11.457936737967774,7.570735062931783,11.18973949219808,5.387650486925713,4.524393478634517,25.896554384466363
2021-02-03 18:00:00,19.05455518165358,6.205997012426969,9.410360761422533,17.14993301953104,10.49413753143256,15.972937094206712,5.904085890784337,6.33262510712166,22.78485993315038
2021-02-03 19:00:00,25.079516175039323,7.881275977746936,18.329821842942362,25.76655494723521,13.386789898059375,22.553825840128233,7.633999558912547,8.887921710054853,45.71021897970852
2021-02-03 20:00:00,20.150136321554392,19.23912605729801,48.05152893971095,16.68956186891587,12.079867418415978,15.605345532891064,26.55800482227957,6.726346002182145,58.08753347997381
2021-02-03 21:00:00,32.08435594342776,24.021784248131436,28.009614938196457,25.87171234172034,19.530682559142956,26.268913963484025,22.278971011822108,11.247750252552432,29.64532047847017
2021-02-03 22:00:00,26.51835668385665,19.523499356356194,18.79940809594062,22.293785124681932,15.82976622545313,21.44952779630234,14.831230250379065,9.378249057230898,21.460438124593082
2021-02-03 23:00:00,19.33375919853537,19.52231893266265,19.753759321116007,15.245419135775531,12.175857325923916,15.154434714016158,14.566415575221416,7.142419830550618,22.466759692769262
2021-02-04 00:00:00,32.21764012963483,11.484153969720749,44.443828349332875,51.800688335562896,16.272147904618354,37.373279875660444,13.856664476488236,13.729004377293498,52.826810880928875
2021-02-04 01:00:00,19.378566197015772,14.399624555926076,19.497507248692767,19.33107645552582,10.696786163062932,17.03163024478565,12.789507443109096,7.0656344036728385,24.666183180185442
2021-02-04 02:00:00,24.42470517771947,8.341462098387694,39.838170069703594,23.74882347791256,13.045657884794517,21.40909690907603,11.560785608271393,8.306243932813091,44.63199088968958
2021-02-04 03:00:00,23.92257351876049,16.370284305669905,23.43336027891131,21.1808728992968,13.482202146214126,19.73363688687879,14.846421655197561,8.198295681079093,30.173023523281937
2021-02-04 04:00:00,27.208754858486934,11.906109883953503,26.952874187366817,23.371183841889014,15.233264123142678,21.943088307839922,13.071800914678285,8.699692484308061,36.00060879299649
2021-02-04 05:00:00,29.500574504196827,18.133172495934794,26.993400821538508,28.136310820822292,16.46422910081701,25.08580927900904,16.635251725709566,10.11002478940364,34.36975915722951
2021-02-04 06:00:00,29.38529025899494,15.400438607950177,20.777664900742213,28.584784895272293,16.238705992846477,25.152834111333867,13.646606960446867,10.033053774400958,27.79984708143647
2021-02-04 07:00:00,28.151837239068552,15.7410919288883,24.742961934105193,23.775650224937223,16.233913152112695,22.499297768566596,14.9124866505214,9.333905044656944,33.24939192829446
2021-02-04 08:00:00,23.227296903795022,12.09236761311677,15.383394143808626,19.066157568035496,13.426549695662272,17.908748555967893,10.750194736775828,7.398037859900215,24.30256783877288
2021-02-04 09:00:00,28.121283577056122,12.403045285276644,14.207897378414655,25.075952352745805,15.976243929159674,22.692482552486382,11.999866407838644,9.139761036398331,18.640380251573607
2021-02-04 10:00:00,25.72542443416638,27.7448367908088,34.19841535841914,19.35016298156875,16.40356374794816,20.091091613182076,25.850101288431386,9.549894757579864,36.18034541216092
2021-02-04 11:00:00,30.0089411359766,27.402657094032623,35.37877335334716,26.231386303819807,18.014379566028335,25.40524007226206,25.357523256498,11.22450635978871,38.68036660104046
2021-02-04 12:00:00,36.95389139287001,26.523126408211493,29.670723594267532,36.89460418666392,21.56541288248318,33.176110333096965,22.992500345869054,14.672384014660125,33.64346448006539
2021-02-04 13:00:00,26.716145191764877,11.15644594094037,9.925744804007245,24.074257418187965,15.695277049067025,22.982113877890523,9.865773520230034,9.709570163071655,10.57754050037829
2021-02-04 14:00:00,23.062730132777112,8.510164631954511,6.974805793399322,20.62105911739235,13.511225202343471,19.55011587659958,7.53128978459195,8.176636302177238,7.411990976424754
2021-02-04 15:00:00,31.59134067485616,13.89486497110036,10.888192406554795,25.148579562147507,19.597392777601296,25.53401207404768,12.354654520161604,11.41350756009687,11.137604483693607
2021-02-04 16:00:00,29.993793266415643,12.096295402435924,8.945243621866878,28.140331422895073,17.324615723885508,26.881701542517284,10.476316839978972,11.555242015710855,9.296041924414244
2021-02-04 17:00:00,33.4738664469721,14.051080373649668,12.392664513117461,35.91346755942468,19.247582184260033,32.1992964379583,11.7570350037804,13.816860336073807,12.695413151920729
2021-02-04 18:00:00,53.98125782197311,32.266389826407135,23.90656323852182,51.39011902202751,34.10215962075069,49.78441351525313,24.39030062889047,25.968767924104878,24.30419611074413
2021-02-04 19:00:00,51.3070138835271,26.06567212114886,19.38716442703394,54.74813825806709,31.02139690385678,49.33740659384271,21.56206952497104,20.695886236542503,18.26011509966155
2021-02-04 20:00:00,68.78102395005978,29.12037685035007,21.62466000445477,89.42376271988633,38.62636510284373,71.79541272554148,24.325028370751667,28.061371505800764,20.42969764237852
2021-02-04 21:00:00,36.9772698379525,12.806624362250135,10.706401669854092,88.26018878103837,17.496790858648367,50.379060622858205,11.842341310180254,16.991786570767342,9.418484140638945
2021-02-04 22:00:00,39.88194699140881,10.891499326971026,8.974980129451476,62.53050564001513,18.63453490148585,43.67169333313464,9.28904245572241,15.084200369788316,8.682578759294703
2021-02-04 23:00:00,50.699765836252595,25.410269172237793,20.11377776156323,85.82545875655445,25.460660734442097,60.615980111132274,20.754910857201903,23.77110009911628,16.53954428179399
2021-02-05 00:00:00,35.706916962538585,15.796202307490026,14.000416841545675,78.63072658197406,16.11075434397062,47.46674020252194,14.107779966048478,16.43125840766052,11.916347846394753
2021-02-05 01:00:00,24.552933945621657,18.55342556722241,18.901289692207655,82.73746258379596,11.382239867773983,41.89585565313471,15.071690954700879,17.789227852755932,14.213758274165958
2021-02-05 02:00:00,43.220047259860586,22.524956733954543,18.057525409275257,58.28074184661993,22.910560172875847,45.340960639351685,18.232887393586644,18.80750292086894,16.14811272597494
2021-02-05 03:00:00,40.849985133275865,17.361664379006097,11.3616514897663,53.7229415440416,20.686438739686412,42.88382412630696,12.248234987802554,18.61270317390014,11.743598340280357
2021-02-05 04:00:00,32.23364303756977,12.638009369648655,8.335779857888435,44.71192218017147,16.13053889580264,34.29970538498317,8.943963597699163,14.942674455707607,9.486051385668246
2021-02-05 05:00:00,24.962611331426565,8.902674456978742,5.367203500526138,41.95048007739448,11.331478961708413,30.058990787456956,5.603440910258415,14.375938909711369,5.657878681493509
2021-02-05 06:00:00,19.62947254426832,3.0477454527550933,2.208804841480428,42.471998994379355,8.136399704280247,25.33061059069584,2.2356005212122785,8.478415370714163,2.4365881094160673
2021-02-05 07:00:00,5.275036422289115,0.868494880764823,0.7133979006140758,10.109358056467904,2.1577644733754213,7.090802760148294,0.6279716954246223,2.628696203044985,0.8441220392176605
2021-02-05 08:00:00,4.106540392840521,0.8892951544844867,0.7850126979570489,6.642417762464847,1.772470131658311,5.022573096752035,0.6693045838181759,1.9290321825018257,0.8418086999512032
2021-02-05 09:00:00,7.717903303332108,2.1341571389514806,1.890765412831163,10.724164667623526,3.686020042826422,8.350555255517085,1.7255133579487816,3.2977643672037873,2.1042093702376783
2021-02-05 10:00:00,4.68670016147027,1.305276895277788,1.1666417320657003,10.932795474236652,1.9052627486651061,7.29509994103184,1.1404536337451137,2.7336206271019154,1.1065717354240452
2021-02-05 11:00:00,2.694377600308607,0.7510261819803618,0.6628970886902796,6.601222172904711,1.1718069439589613,4.280751412912447,0.6838943770136456,1.645898170327875,0.8431399318703905
2021-02-05 12:00:00,3.6268968274165454,1.0623538574699343,0.9434305033963059,4.998687916866221,1.7293620017414504,4.018216814091194,0.9231080333432473,1.6723248822759667,1.273628304643542
2021-02-05 13:00:00,6.224203112891642,1.2830615756826582,1.1043462107564626,7.8281888493385505,2.8805893864203735,6.651306074624522,1.0213454644811961,2.685639291255959,1.6802332274933052
2021-02-05 14:00:00,4.517795489257361,1.4223698788801586,1.2389346103557726,4.040164507351933,2.475525064462909,3.854578815460399,1.2405237890485274,1.6995135420081855,2.233666643826869
2021-02-05 15:00:00,10.944952304358603,2.2490335157678483,1.8122541352690293,14.939886746447863,5.0052195750930215,12.03567769794353,1.736373676994468,4.7344495486514555,2.544160351259338
2021-02-05 16:00:00,5.443847397548701,1.8249749269103779,1.5141214009758466,4.201536076207467,3.136305115281533,4.26138915932098,1.607861546708394,1.879565337815556,4.2568715815250595
2021-02-05 17:00:00,8.616002215482842,2.2399745580681234,2.0684671005930184,8.821493843250268,4.369732827292818,8.018828987595974,1.8762131330980556,3.382848041321648,3.8080765221264192
2021-02-05 18:00:00,8.242031975811777,1.9800302776799894,1.5798392517220659,8.560129357569872,4.136562316156931,7.597508465897806,1.617325071883659,3.038373268813332,2.351195997342317
2021-02-05 19:00:00,5.084265932567449,1.3582249649264968,1.1539697406408094,6.561157681700487,2.4646106598902695,5.3704274193885935,1.1622383251492467,2.1794740940466397,1.5284259503472488
2021-02-05 20:00:00,1.9127550055644902,0.5452727651366035,0.5113886120344747,2.9559433351897186,0.878540647026576,2.383999975674168,0.4905247677469742,0.9993737017392428,0.8397080496721533
2021-02-05 21:00:00,4.234703391534693,0.7209043624882572,0.5884677154714226,7.098553557629964,1.8114853313280983,5.431568409241245,0.5500257582600223,2.0691735417043096,0.9821275174619337
2021-02-05 22:00:00,5.24206220818892,1.2115711070761146,0.9872787382740622,6.072223678544154,2.5223111883723415,5.150437742191649,0.9771642105076502,2.0787509159833344,1.4215887760328505
2021-02-05 23:00:00,13.993622259280059,4.006404724082436,3.581262279433962,12.875700183411508,7.473447463344475,12.24243932078581,3.471671457461951,4.838160568951194,9.136736561814878
